,Unnamed: 0,count(pickup_date),pickup_date
0,0,1744,2014-07-01
1,1,2228,2014-07-02
2,2,2121,2014-07-03
3,3,1459,2014-07-04
4,4,1703,2014-07-05
5,5,1501,2014-07-06
6,6,1768,2014-07-07
7,7,1815,2014-07-08
8,8,1827,2014-07-09
9,9,1746,2014-07-10
10,10,2085,2014-07-11
11,11,1972,2014-07-12
12,12,1655,2014-07-13
13,13,1911,2014-07-14
14,14,1903,2014-07-15
15,15,1800,2014-07-16
16,16,1811,2014-07-17
17,17,1916,2014-07-18
18,18,1866,2014-07-19
19,19,1712,2014-07-20
20,20,1781,2014-07-21
21,21,1873,2014-07-22
22,22,1926,2014-07-23
23,23,1740,2014-07-24
24,24,2035,2014-07-25
25,25,1846,2014-07-26
26,26,1675,2014-07-27
27,27,1860,2014-07-28
28,28,1699,2014-07-29
29,29,1744,2014-07-30
30,30,1871,2014-07-31
31,31,2046,2014-08-01
32,32,1919,2014-08-02
33,33,1666,2014-08-03
34,34,1807,2014-08-04
35,35,1721,2014-08-05
36,36,1794,2014-08-06
37,37,1787,2014-08-07
38,38,2046,2014-08-08
39,39,1808,2014-08-09
40,40,1771,2014-08-10
41,41,1756,2014-08-11
42,42,1703,2014-08-12
43,43,1908,2014-08-13
44,44,1801,2014-08-14
45,45,2006,2014-08-15
46,46,2031,2014-08-16
47,47,1762,2014-08-17
48,48,1742,2014-08-18
49,49,1750,2014-08-19
50,50,1680,2014-08-20
51,51,1803,2014-08-21
52,52,1952,2014-08-22
53,53,1760,2014-08-23
54,54,1495,2014-08-24
55,55,1762,2014-08-25
56,56,1603,2014-08-26
57,57,1720,2014-08-27
58,58,1732,2014-08-28
59,59,1900,2014-08-29
60,60,1686,2014-08-30
61,61,1716,2014-08-31
62,62,1211,2014-09-01
63,63,1703,2014-09-02
64,64,1852,2014-09-03
65,65,1846,2014-09-04
66,66,1914,2014-09-05
67,67,1798,2014-09-06
68,68,1645,2014-09-07
69,69,1826,2014-09-08
70,70,1750,2014-09-09
71,71,1797,2014-09-10
72,72,1908,2014-09-11
73,73,2016,2014-09-12
74,74,2085,2014-09-13
75,75,1815,2014-09-14
76,76,1851,2014-09-15
77,77,1894,2014-09-16
78,78,1742,2014-09-17
79,79,1818,2014-09-18
80,80,2072,2014-09-19
81,81,1836,2014-09-20
82,82,1723,2014-09-21
83,83,1817,2014-09-22
84,84,1771,2014-09-23
85,85,1764,2014-09-24
86,86,1750,2014-09-25
87,87,1934,2014-09-26
88,88,1917,2014-09-27
89,89,1831,2014-09-28
90,90,1868,2014-09-29
91,91,1789,2014-09-30
